exp,seed,domain,mode,fault_tag,n_episodes,mean_return,std_return,success_rate,violation_rate,mean_ep_len,fail_rate,mean_energy,total_timesteps,actuator_dr_range,goal_x_min,goal_x_max,goal_tolerance,fault_goal_x_min,fault_goal_x_max,fault_goal_tolerance,friction_range,safety_max_pitch,safety_max_vspeed,safety_terminate,fault_strength,fault_indices,fault_start_step
MSR_fast_noRes,0,target,eval_fault,a2_s0.7_t150,100,464.68050871229804,75.93342292715252,,0.0,193.58,,143.43896728135027,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(2,)",150
MSR_fast_noRes,0,target,eval_fault,a2_s0.5_t0,100,318.76715531513304,22.67799186007435,,0.0,140.4,,98.57139463155414,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(2,)",0
MSR_fast_noRes,0,target,eval_fault,a2_s0.5_t50,100,316.2270643738549,19.441572897435798,,0.0,137.77,,95.7557345263366,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(2,)",50
MSR_fast_noRes,0,target,eval_fault,a2_s0.5_t150,100,460.77998819227645,72.0138640279844,,0.0,192.44,,141.61933488544912,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(2,)",150
MSR_fast_noRes,0,target,eval_fault,a2_s0.3_t0,100,290.3560051317392,18.59177300271681,,0.0,133.01,,92.73496879509271,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(2,)",0
MSR_fast_noRes,0,target,eval_fault,a2_s0.3_t50,100,279.7929049076973,19.13334878304196,,0.0,125.4,,84.39769166804501,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(2,)",50
MSR_fast_noRes,0,target,eval_fault,a2_s0.3_t150,100,455.3426496973374,66.65902714671256,,0.0,190.61,,139.45507439213011,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(2,)",150
MSR_fast_noRes,0,target,eval_goal,,100,244.96190193893824,34.630543098719315,1.0,0.0,155.12,0.0,101.72815720099388,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,,,
MSR_fast_noRes,0,target,eval_fault_goal,a0_s0.7_t0,100,241.80863889254678,31.17930660007424,1.0,0.0,153.18,0.0,102.52713697777509,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(0,)",0
MSR_fast_noRes,0,target,eval_fault_goal,a0_s0.7_t50,100,237.10980270713068,28.892482041357802,1.0,0.0,149.95,0.0,98.8621632540872,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(0,)",50
