exp,seed,domain,mode,fault_tag,n_episodes,mean_return,std_return,total_timesteps,actuator_dr_range,fault_strength,fault_indices,fault_start_step
baseline_noDR,1,target,eval_fault,a2_s0.7_t0,20,458.5980832870599,6.257527965370791,800000,0.0,0.7,"(2,)",0
baseline_noDR,1,target,eval_fault,a2_s0.7_t50,20,444.0196578138042,2.5509885793452054,800000,0.0,0.7,"(2,)",50
baseline_noDR,1,target,eval_fault,a2_s0.7_t150,20,838.9118653417187,27.71616265409757,800000,0.0,0.7,"(2,)",150
baseline_noDR,1,target,eval_fault,a2_s0.5_t0,20,342.03577404541494,2.648051959540339,800000,0.0,0.5,"(2,)",0
baseline_noDR,1,target,eval_fault,a2_s0.5_t50,20,327.90410818299137,1.3878569290251013,800000,0.0,0.5,"(2,)",50
baseline_noDR,1,target,eval_fault,a2_s0.5_t150,20,686.2767491909065,21.197055771402017,800000,0.0,0.5,"(2,)",150
baseline_noDR,1,target,eval_fault,a2_s0.3_t0,20,242.63172339590514,9.144119661920028,800000,0.0,0.3,"(2,)",0
baseline_noDR,1,target,eval_fault,a2_s0.3_t50,20,225.72676286178506,1.1483878455729868,800000,0.0,0.3,"(2,)",50
baseline_noDR,1,target,eval_fault,a2_s0.3_t150,20,650.0199577600254,5.202668525121367,800000,0.0,0.3,"(2,)",150
baseline_noDR,2,target,eval,,20,1022.5865859920032,65.8139954150458,800000,0.0,,,
baseline_noDR,2,target,eval_fault,a0_s0.7_t0,20,978.872756164936,36.07371404898413,800000,0.0,0.7,"(0,)",0
baseline_noDR,2,target,eval_fault,a0_s0.7_t50,20,1015.1928894588652,62.77063161258919,800000,0.0,0.7,"(0,)",50
baseline_noDR,2,target,eval_fault,a0_s0.7_t150,20,1020.8487945362125,62.78207691213232,800000,0.0,0.7,"(0,)",150
baseline_noDR,2,target,eval_fault,a0_s0.5_t0,20,554.4235896461448,350.33460145647445,800000,0.0,0.5,"(0,)",0
baseline_noDR,2,target,eval_fault,a0_s0.5_t50,20,910.3092605943945,237.0236661471545,800000,0.0,0.5,"(0,)",50
baseline_noDR,2,target,eval_fault,a0_s0.5_t150,20,1006.8863705452746,66.29192900839632,800000,0.0,0.5,"(0,)",150
baseline_noDR,2,target,eval_fault,a0_s0.3_t0,20,862.5473099163167,396.2542812298677,800000,0.0,0.3,"(0,)",0
baseline_noDR,2,target,eval_fault,a0_s0.3_t50,20,921.977711225389,182.3355650208527,800000,0.0,0.3,"(0,)",50
baseline_noDR,2,target,eval_fault,a0_s0.3_t150,20,970.5652350712331,67.54687150726389,800000,0.0,0.3,"(0,)",150
baseline_noDR,2,target,eval_fault,a1_s0.7_t0,20,988.7122264947727,68.6939207281512,800000,0.0,0.7,"(1,)",0
baseline_noDR,2,target,eval_fault,a1_s0.7_t50,20,993.6211917209794,72.15975398752488,800000,0.0,0.7,"(1,)",50
baseline_noDR,2,target,eval_fault,a1_s0.7_t150,20,989.3662085182071,68.66928430810196,800000,0.0,0.7,"(1,)",150
baseline_noDR,2,target,eval_fault,a1_s0.5_t0,20,1109.3189282741919,62.54104527240697,800000,0.0,0.5,"(1,)",0
baseline_noDR,2,target,eval_fault,a1_s0.5_t50,20,975.9689161664355,82.51076867707842,800000,0.0,0.5,"(1,)",50
baseline_noDR,2,target,eval_fault,a1_s0.5_t150,20,977.3175745178908,61.3502839111562,800000,0.0,0.5,"(1,)",150
baseline_noDR,2,target,eval_fault,a1_s0.3_t0,20,1127.3045746167968,45.64252871080478,800000,0.0,0.3,"(1,)",0
baseline_noDR,2,target,eval_fault,a1_s0.3_t50,20,981.7672250327017,378.62146821755863,800000,0.0,0.3,"(1,)",50
baseline_noDR,2,target,eval_fault,a1_s0.3_t150,20,957.0132564040666,47.123320875981406,800000,0.0,0.3,"(1,)",150
baseline_noDR,2,target,eval_fault,a2_s0.7_t0,20,412.02107143081975,11.767451159751309,800000,0.0,0.7,"(2,)",0
baseline_noDR,2,target,eval_fault,a2_s0.7_t50,20,429.07690937724266,24.161412672440623,800000,0.0,0.7,"(2,)",50
baseline_noDR,2,target,eval_fault,a2_s0.7_t150,20,763.0160435795794,17.352599928031513,800000,0.0,0.7,"(2,)",150
baseline_noDR,2,target,eval_fault,a2_s0.5_t0,20,329.3279998681717,3.9837410165133256,800000,0.0,0.5,"(2,)",0
baseline_noDR,2,target,eval_fault,a2_s0.5_t50,20,333.3654467880934,3.8794199583898394,800000,0.0,0.5,"(2,)",50
baseline_noDR,2,target,eval_fault,a2_s0.5_t150,20,632.7934633253258,9.86276856582636,800000,0.0,0.5,"(2,)",150
baseline_noDR,2,target,eval_fault,a2_s0.3_t0,20,224.01036611493322,6.661891909429835,800000,0.0,0.3,"(2,)",0
baseline_noDR,2,target,eval_fault,a2_s0.3_t50,20,233.9375287935642,4.132493719063925,800000,0.0,0.3,"(2,)",50
baseline_noDR,2,target,eval_fault,a2_s0.3_t150,20,590.4355746498758,16.231382608472305,800000,0.0,0.3,"(2,)",150
resilient_actuatorDR_r0p20,0,target,eval,,20,909.7088566472532,35.55980853920336,800000,0.2,,,
resilient_actuatorDR_r0p20,0,target,eval_fault,a0_s0.7_t0,20,905.6542477597783,33.01926802003701,800000,0.2,0.7,"(0,)",0
resilient_actuatorDR_r0p20,0,target,eval_fault,a0_s0.7_t50,20,913.4091500183324,18.135769155721317,800000,0.2,0.7,"(0,)",50
resilient_actuatorDR_r0p20,0,target,eval_fault,a0_s0.7_t150,20,929.6331580354592,15.341352117092171,800000,0.2,0.7,"(0,)",150
resilient_actuatorDR_r0p20,0,target,eval_fault,a0_s0.5_t0,20,901.9913201687643,21.778734655798562,800000,0.2,0.5,"(0,)",0
resilient_actuatorDR_r0p20,0,target,eval_fault,a0_s0.5_t50,20,906.8924492804072,26.37398495791492,800000,0.2,0.5,"(0,)",50
resilient_actuatorDR_r0p20,0,target,eval_fault,a0_s0.5_t150,20,926.205960471493,16.96566020796309,800000,0.2,0.5,"(0,)",150
resilient_actuatorDR_r0p20,0,target,eval_fault,a0_s0.3_t0,20,894.2664660281209,40.57300110222354,800000,0.2,0.3,"(0,)",0
resilient_actuatorDR_r0p20,0,target,eval_fault,a0_s0.3_t50,20,897.9480962893507,42.85060367038956,800000,0.2,0.3,"(0,)",50
resilient_actuatorDR_r0p20,0,target,eval_fault,a0_s0.3_t150,20,909.4954016130471,35.857079963422315,800000,0.2,0.3,"(0,)",150
resilient_actuatorDR_r0p20,0,target,eval_fault,a1_s0.7_t0,20,947.1837047123679,30.354694446898563,800000,0.2,0.7,"(1,)",0
resilient_actuatorDR_r0p20,0,target,eval_fault,a1_s0.7_t50,20,976.6439261282742,17.254714730080657,800000,0.2,0.7,"(1,)",50
resilient_actuatorDR_r0p20,0,target,eval_fault,a1_s0.7_t150,20,913.7589166097544,19.21830476485566,800000,0.2,0.7,"(1,)",150
resilient_actuatorDR_r0p20,0,target,eval_fault,a1_s0.5_t0,20,1001.4939840930534,4.791687581280749,800000,0.2,0.5,"(1,)",0
resilient_actuatorDR_r0p20,0,target,eval_fault,a1_s0.5_t50,20,981.2202908343936,14.032974316990389,800000,0.2,0.5,"(1,)",50
resilient_actuatorDR_r0p20,0,target,eval_fault,a1_s0.5_t150,20,882.1515246255216,17.846632623568244,800000,0.2,0.5,"(1,)",150
resilient_actuatorDR_r0p20,0,target,eval_fault,a1_s0.3_t0,20,958.0283899177505,38.0522517681271,800000,0.2,0.3,"(1,)",0
resilient_actuatorDR_r0p20,0,target,eval_fault,a1_s0.3_t50,20,947.2835191762994,20.929273683644414,800000,0.2,0.3,"(1,)",50
resilient_actuatorDR_r0p20,0,target,eval_fault,a1_s0.3_t150,20,854.3495356209689,14.885081426036923,800000,0.2,0.3,"(1,)",150
resilient_actuatorDR_r0p20,0,target,eval_fault,a2_s0.7_t0,20,379.93515926808647,10.966652829450585,800000,0.2,0.7,"(2,)",0
resilient_actuatorDR_r0p20,0,target,eval_fault,a2_s0.7_t50,20,388.2525116026832,2.013994789537485,800000,0.2,0.7,"(2,)",50
resilient_actuatorDR_r0p20,0,target,eval_fault,a2_s0.7_t150,20,813.428531117054,15.204713229769004,800000,0.2,0.7,"(2,)",150
