fault_indices,fault_strength,fault_start_step,mean_reward,std_reward
"(0,)",0.700,0,2457.813935,704.914937
"(0,)",0.700,50,2142.395248,925.964744
"(0,)",0.700,150,2391.338408,823.459989
"(0,)",0.500,0,2057.956205,911.410309
"(0,)",0.500,50,1983.235997,753.641868
"(0,)",0.500,150,2132.732780,864.636321
"(0,)",0.300,0,1381.058946,937.396332
"(0,)",0.300,50,1653.668323,822.323060
"(0,)",0.300,150,1573.315187,751.583170
"(1,)",0.700,0,1917.891785,970.639083
"(1,)",0.700,50,1994.169299,830.222157
"(1,)",0.700,150,1912.758288,996.302611
"(1,)",0.500,0,1838.754881,893.120027
"(1,)",0.500,50,1706.619084,859.823186
"(1,)",0.500,150,2026.041595,688.309969
"(1,)",0.300,0,1355.823781,860.320811
"(1,)",0.300,50,1731.082766,725.016721
"(1,)",0.300,150,1617.327678,801.159876
"(2,)",0.700,0,2168.042124,817.610379
"(2,)",0.700,50,2081.687265,948.642895
"(2,)",0.700,150,2024.603747,861.215560
"(2,)",0.500,0,1675.621727,974.232481
"(2,)",0.500,50,1681.377825,934.541467
"(2,)",0.500,150,1828.655370,798.784353
"(2,)",0.300,0,1382.219895,882.400563
"(2,)",0.300,50,1623.868824,614.555329
"(2,)",0.300,150,1254.319471,786.584864
