motor_dr_range,mean_reward,std_reward
0.00,2800.618303,848.659859
0.10,3166.967314,122.598694
0.20,3158.855019,93.697696
0.30,3037.992189,470.155378
0.40,2970.957014,700.481892
0.50,3019.015948,581.831414
