motor_dr_range,mean_reward,std_reward
0.00,2357.470283,750.849621
0.10,1876.279613,1234.698277
0.20,1774.251805,1118.107501
0.30,1967.396116,1039.924091
0.40,2305.301143,885.084102
0.50,2239.330535,979.061386
