timesteps,is_success,time_to_goal,violations,fell
24810,0,-1,1,0
24936,0,-1,0,0
24972,0,-1,0,0
24996,0,-1,5,1
25002,0,-1,0,0
25332,0,-1,0,0
25374,0,-1,2,0
25476,0,-1,2,0
25476,0,-1,11,1
25578,0,-1,2,0
25614,0,-1,1,0
25620,0,-1,0,0
25704,0,-1,6,1
25806,0,-1,0,0
25884,0,-1,1,0
26040,0,-1,0,0
26094,0,-1,2,0
26100,0,-1,4,0
26190,0,-1,0,0
26268,0,-1,5,1
26364,0,-1,7,1
26364,0,-1,2,0
26544,0,-1,3,0
26652,0,-1,4,1
26700,0,-1,0,0
26700,0,-1,0,0
26766,0,-1,3,1
26790,0,-1,8,0
26808,0,-1,0,0
26916,0,-1,6,1
27036,0,-1,5,1
27066,0,-1,3,0
27162,0,-1,3,0
27342,0,-1,0,0
27504,0,-1,0,0
27600,0,-1,3,0
27954,0,-1,0,0
27954,0,-1,3,1
27966,0,-1,2,0
27966,0,-1,2,0
28068,0,-1,0,0
28146,0,-1,2,0
28212,0,-1,4,0
28422,0,-1,1,0
28518,0,-1,7,0
28602,0,-1,1,0
28614,0,-1,4,0
28632,0,-1,0,0
28872,0,-1,0,0
28944,0,-1,0,0
28956,0,-1,5,1
29202,0,-1,0,0
29202,0,-1,3,0
29298,0,-1,0,0
29328,0,-1,3,0
29340,1,203,0,0
29388,0,-1,0,0
29586,0,-1,8,0
29592,0,-1,0,0
29724,0,-1,0,0
29814,0,-1,0,0
29910,0,-1,0,0
29928,0,-1,3,0
30042,0,-1,0,0
30084,0,-1,3,0
30216,0,-1,4,1
30240,0,-1,0,0
30252,0,-1,6,0
30306,0,-1,3,0
30312,0,-1,0,0
30348,0,-1,5,0
30510,0,-1,4,0
30606,0,-1,6,0
30642,0,-1,0,0
30786,0,-1,0,0
31158,0,-1,0,0
31158,0,-1,0,0
31254,0,-1,0,0
31302,0,-1,0,0
31422,0,-1,0,0
31464,0,-1,4,1
31464,0,-1,2,0
31566,0,-1,0,0
31734,0,-1,1,0
31794,0,-1,2,0
31878,0,-1,0,0
32010,0,-1,0,0
32028,0,-1,4,0
32046,0,-1,5,1
32136,0,-1,0,0
32160,0,-1,8,0
32394,0,-1,2,0
32502,0,-1,4,1
32520,0,-1,0,0
32544,0,-1,6,1
32790,0,-1,1,0
32868,0,-1,0,0
33054,0,-1,0,0
33144,0,-1,0,0
33150,1,288,2,0
33282,0,-1,3,1
33282,0,-1,1,0
33384,0,-1,0,0
33402,0,-1,3,1
33492,0,-1,0,0
33594,0,-1,1,0
33654,0,-1,4,0
34116,0,-1,0,0
34140,0,-1,4,1
34170,0,-1,6,0
34290,0,-1,1,0
34410,0,-1,0,0
34446,0,-1,4,0
34566,0,-1,0,0
34566,0,-1,0,0
34590,0,-1,3,0
34800,0,-1,3,0
34956,0,-1,0,0
35034,0,-1,3,0
35190,0,-1,0,0
35202,0,-1,4,1
35202,0,-1,8,1
35226,0,-1,0,0
35238,0,-1,5,1
35286,0,-1,1,0
35304,0,-1,0,0
35388,0,-1,1,0
35490,0,-1,2,0
35616,0,-1,8,0
35700,0,-1,8,1
35832,0,-1,3,0
35886,0,-1,2,0
36072,0,-1,12,1
36084,0,-1,5,0
36144,0,-1,6,1
36198,0,-1,1,0
36240,0,-1,5,1
36288,0,-1,0,0
36300,0,-1,12,1
36510,0,-1,4,1
36540,0,-1,0,0
36906,0,-1,0,0
36924,0,-1,4,1
37050,0,-1,2,0
37254,0,-1,0,0
37284,0,-1,0,0
37290,0,-1,3,1
37488,0,-1,0,0
37494,0,-1,0,0
37536,0,-1,2,0
37752,0,-1,7,0
37776,0,-1,6,0
37920,0,-1,2,0
38010,0,-1,0,0
38064,0,-1,3,1
38070,0,-1,1,0
38292,0,-1,4,0
38376,0,-1,1,0
38400,0,-1,0,0
38568,0,-1,4,0
38610,0,-1,5,0
38634,0,-1,0,0
38664,0,-1,0,0
38790,0,-1,1,0
38880,0,-1,0,0
38940,0,-1,2,0
38964,0,-1,5,1
39108,0,-1,0,0
39144,0,-1,4,0
39150,0,-1,0,0
39396,0,-1,1,0
39456,0,-1,0,0
39582,0,-1,7,0
39600,0,-1,6,1
39666,0,-1,0,0
39774,0,-1,0,0
39828,0,-1,8,1
39834,0,-1,26,0
39966,1,143,0,0
39978,0,-1,4,1
39990,0,-1,0,0
40032,0,-1,3,0
40122,0,-1,0,0
40224,0,-1,4,1
40362,0,-1,0,0
40452,0,-1,0,0
40452,0,-1,0,0
40458,0,-1,0,0
40584,0,-1,3,0
40680,0,-1,0,0
40704,0,-1,4,1
40800,0,-1,3,0
40890,0,-1,1,0
40938,0,-1,0,0
41100,0,-1,10,0
41292,0,-1,0,0
