group,seed,target_last,target_best,target_best_timestep,faulty_last,faulty_best,faulty_best_timestep,relative_drop
baseline,0,2057.07177734375,2057.07177734375,960000,nan,nan,nan,nan
baseline,1,1723.9232177734375,1723.9232177734375,960000,nan,nan,nan,nan
baseline,2,1339.5689697265625,1339.5689697265625,960000,nan,nan,nan,nan
resilient,0,1798.0791015625,1844.6376953125,1440000,2059.045654296875,2059.045654296875,1920000,-0.14513630268412525
resilient,1,3070.515869140625,3070.515869140625,1920000,2441.86328125,2698.12060546875,1440000,0.2047384265975385
resilient,2,2429.98828125,2429.98828125,1920000,1944.4742431640625,2470.107421875,1680000,0.1998009792196143
