group,n_seeds,target_last_mean,target_last_std,faulty_last_mean,faulty_last_std,drop_mean,drop_std
baseline,3,1706.8546142578125,293.1678466796875,nan,nan,nan,nan
resilient,3,2432.861083984375,519.47412109375,2148.461181640625,212.67391967773438,0.08646770566701889,0.16378116607666016
